"","model_base","model_county_time","model_urban_county","model_road_chars","model_aadt","model_spatial_se"
" ","Base","County×Time","Urban Het.","Road Chars.","AADT","Spatial SE"
"Dependent Var.:","accident_count","accident_count","accident_count","accident_count","accident_count","accident_count"
"  "," "," "," "," "," "," "
"treatmentTRUE","0.0956*** (0.0211)","0.0931*** (0.0226)","-0.0230. (0.0134)","-0.0230. (0.0134)","-0.0229. (0.0134)","-0.0240 (0.0358)"
"is_urbanTRUE","  ","  ","35.20*** (0.6410)","35.20*** (0.6410)","-2,370.3*** (47.37)","3.737*** (0.4433)"
"treatmentTRUE x is_urbanTRUE","  ","  ","0.1647*** (0.0314)","0.1647*** (0.0314)","0.1660*** (0.0315)","0.3301 (0.3234)"
"log(traffic_volume+1)","  ","  ","  ","  ","1,869.2*** (36.60)","  "
"Constant","  ","  ","  ","  ","  ","0.5260*** (0.0850)"
"Fixed-Effects:","------------------","------------------","------------------","------------------","-------------------","------------------"
"buffer_id","Yes","Yes","Yes","Yes","Yes","No"
"month","Yes","No","No","No","No","No"
"county_name-month","No","Yes","Yes","Yes","Yes","No"
"____________________________","__________________","__________________","__________________","__________________","___________________","__________________"
"S.E. type","by: buffer_id","by: buffer_id","by: buffer_id","by: buffer_id","by: buffer_id","Conley (50km)"
"Observations","403,176","414,804","414,804","414,804","413,712","414,852"
"R2","0.77002","0.77964","0.77966","0.77966","0.77940","0.07056"
"Within R2","7.93e-5","7.66e-5","0.00013","0.00013","0.00014","--"
